# param_presentation.tsv — PRESENTATION, keyed on ADDRESS and nothing else.
#
# WHY A SEPARATE TABLE. FOUNDATIONS' D1 ruling (their DECISIONS #89): ParamDesc
# carries STRUCTURE — address, id, type, cadence, ranges, and mod_min/mod_max —
# and deliberately does NOT carry label/unit/page/widget, because the standing
# GUI criterion says styling is data, separable from structure, and putting them
# in one record breaks the thing that criterion separates. Structure is theirs to
# define at re-point; presentation is ours, and lives here.
#
# KEYED ON ADDRESS, NEVER ON id. Their caution, adopted verbatim: a page or group
# that is also a dispatch fact is how the two get re-fused. gui.html today binds
# every control with data-p="<numeric id>" — that mistake is already in the tree,
# and this table is the shape meant to replace it. There is deliberately no id
# column: you cannot re-fuse what you cannot name.
#
# NO patch_scope COLUMN EITHER, and that is the same ruling applied to ourselves.
# Patch-scope is DISPATCH — does the write consume the event — not presentation
# and not location (their D2). It is derived from the shell by tools/gui_reach.py,
# with two semantic anchors that took three wrong versions to get right. Copying
# that derivation here to decorate a row would be a second copy of a rule whose
# single copy is the whole point. If you want to know whether a param is
# patch-scope, ask gui_reach; it is the owner.
#
# `chunk` IS THE QUEUE, AND EMPTY MEANS NOT-YET-DESIGNED.
#
# `shown_when` HIDES A ROW THAT CANNOT AFFECT THE SOUND. Grammar:
#
# `scale` = log10 MAPS THE CONTROL, NOT THE VALUE. Time is perceived
# logarithmically — 1->2 ms matters as much as 1->2 s — so a linear seconds
# slider spends most of its travel where nobody sets it. The GUI converts on
# send and on paint; the parameter itself stays linear seconds, which is what
# CLAP reports and what the core reads.
#   <base-key>=<value>[|<value>]   e.g. reach -> topo=1
# A control for a parameter the engine does not read in the current mode is
# not information, it is furniture that lies. Every entry here is VERIFIED
# against the core's own branch (swarm_core.h topology switch), never
# inferred from a name: topo==0 reads poles, topo==1 reads reach, and the
# else branch (two-cluster) reads mu and balance.
# A row renders only when its chunk is named. This exists because the first pass
# generated a control for EVERY row at once to make gui_reach report 105/105 —
# a number, not a design. It surfaced SPECTRA and the engine selector into a GUI
# whose own rules say "a cluster appears here only when its engine surface is
# REAL", rendered every enum as a numeric slider, duplicated an existing panel,
# and shipped unstyled. Reach counted presence, so reach was satisfied.
# Naming a chunk is therefore a claim that four decisions were MADE for it:
#   1. engine surface is real (no cluster for an engine we are not shipping)
#   2. widget per param is right (an enum is a selector, not a number)
#   3. the group does not already exist hand-written (no twin panels)
#   4. the wrapper has CSS and survives at plugin size
#
# SEEDED, NOT INVENTED. Group and widget are mined from gui.html — the GUI that
# already reaches 102/105 params — so the starting data is what we ship, not a
# guess. page=TODO and group=(ungrouped) are the honest gaps, and are counted by
# presentation_check rather than hidden.
address	scope	label	page	group	widget	unit	chunk	shown_when	scale	depends
osc1.decay	osc1	Decay (s)	OSC	Envelope	knob		envelope		log10	
osc2.decay	osc2	Decay (s)	OSC	Envelope	knob		envelope		log10	
osc1.sustain	osc1	Sustain	OSC	Envelope	knob		envelope			
osc2.sustain	osc2	Sustain	OSC	Envelope	knob		envelope			
osc1.release	osc1	Release (s)	OSC	Envelope	knob		envelope		log10	
osc2.release	osc2	Release (s)	OSC	Envelope	knob		envelope		log10	
osc1.beatMult	osc1	Grid Cycles/Beat	OSC	The swarm	select		the-swarm			law=3
osc2.beatMult	osc2	Grid Cycles/Beat	OSC	The swarm	select		the-swarm			law=3
osc1.topo	osc1	Topology	OSC	Dynamics	select		dynamics			
osc2.topo	osc2	Topology	OSC	Dynamics	select		dynamics			
osc1.reach	osc1	Ring Reach	OSC	Dynamics	knob		dynamics	topo=1		topo=1
osc2.reach	osc2	Ring Reach	OSC	Dynamics	knob		dynamics	topo=1		topo=1
osc1.mu	osc1	Cluster Link	OSC	Dynamics	knob		dynamics	topo=2		topo=2
osc2.mu	osc2	Cluster Link	OSC	Dynamics	knob		dynamics	topo=2		topo=2
osc1.alpha	osc1	Phase Lag	OSC	Dynamics	knob		dynamics			
osc2.alpha	osc2	Phase Lag	OSC	Dynamics	knob		dynamics			
osc1.poles	osc1	Poles q	OSC	Dynamics	select		dynamics	topo=0		topo=0
osc2.poles	osc2	Poles q	OSC	Dynamics	select		dynamics	topo=0		topo=0
osc1.grav	osc1	Gravity	OSC	Dynamics	knob		dynamics			
osc2.grav	osc2	Gravity	OSC	Dynamics	knob		dynamics			
osc1.basin	osc1	Basin (c)	OSC	Dynamics	knob		dynamics			
osc2.basin	osc2	Basin (c)	OSC	Dynamics	knob		dynamics			
osc1.absK	osc1	Absolute K	OSC	Dynamics	toggle		dynamics			
osc2.absK	osc2	Absolute K	OSC	Dynamics	toggle		dynamics			
voiceMono	global	Mono	MAIN	Bend	toggle		voice			
glide	global	Note Lag	MAIN	Bend	knob	s	bend	noteLawLink=0,noteLaw=3	log10	noteLawLink=0,noteLaw=3
voiceLegato	global	Legato	MAIN	Bend	toggle		voice			
osc1.octave	osc1	Octave	OSC	Pitch	knob		voice			
osc2.octave	osc2	Octave	OSC	Pitch	knob		voice			
osc1.semi	osc1	Semitones	OSC	Pitch	knob		voice			
osc2.semi	osc2	Semitones	OSC	Pitch	knob		voice			
osc1.fineCents	osc1	Fine (c)	OSC	Pitch	knob		voice			
osc2.fineCents	osc2	Fine (c)	OSC	Pitch	knob		voice			
pitchBend	global	Pitch	MAIN	Bend	knob		voice			
osc1.scatter	osc1	Phase Scatter	OSC	The coupling	knob		the-coupling			
osc2.scatter	osc2	Phase Scatter	OSC	The coupling	knob		the-coupling			
bassMono	global	Bass Mono	MIX	Output & perception	toggle		output-perception			
bassMonoHz	global	Bass XOver (Hz)	MIX	Output & perception	knob		output-perception			
osc1.panScatter	osc1	Pan Scatter	OSC	Image & tone	knob		image-tone			
osc2.panScatter	osc2	Pan Scatter	OSC	Image & tone	knob		image-tone			
osc1.engine	osc1	Engine	OSC	The swarm	select					
osc2.engine	osc2	Engine	OSC	The swarm	select					
osc1.partials	osc1	Partials	OSC	Spectra	knob					
osc2.partials	osc2	Partials	OSC	Spectra	knob					
osc1.tilt	osc1	Amp Tilt	OSC	Spectra	knob					
osc2.tilt	osc2	Amp Tilt	OSC	Spectra	knob					
osc1.stretch	osc1	Stretch	OSC	Spectra	knob					
osc2.stretch	osc2	Stretch	OSC	Spectra	knob					
osc1.cloud	osc1	Cloud Voices	OSC	Spectra	knob					
osc2.cloud	osc2	Cloud Voices	OSC	Spectra	knob					
osc1.cwidth	osc1	Cloud Width	OSC	Spectra	knob					
osc2.cwidth	osc2	Cloud Width	OSC	Spectra	knob					
osc1.wtilt	osc1	Width Tilt	OSC	Spectra	knob					
osc2.wtilt	osc2	Width Tilt	OSC	Spectra	knob					
osc1.wlaw	osc1	Width Law	OSC	Spectra	select					
osc2.wlaw	osc2	Width Law	OSC	Spectra	select					
osc1.cascade	osc1	Cascade	OSC	Spectra	knob					
osc2.cascade	osc2	Cascade	OSC	Spectra	knob					
osc1.subOn	osc1	Sub Osc	OSC	Spectra	toggle					
osc2.subOn	osc2	Sub Osc	OSC	Spectra	toggle					
osc1.subVol	osc1	Sub Level	OSC	Spectra	knob					
osc2.subVol	osc2	Sub Level	OSC	Spectra	knob					
osc1.subWave	osc1	Sub Wave	OSC	Spectra	knob					
osc2.subWave	osc2	Sub Wave	OSC	Spectra	knob					
osc1.subOct	osc1	Sub Octave	OSC	Spectra	knob					
osc2.subOct	osc2	Sub Octave	OSC	Spectra	knob					
osc1.balance	osc1	A/B Balance	OSC	Dynamics	knob		dynamics	topo=2		topo=2
osc2.balance	osc2	A/B Balance	OSC	Dynamics	knob		dynamics	topo=2		topo=2
fx1type	global	FX1 Type	FX	FX rack	select		fx-rack			
fx1amt	global	FX1 Amount	FX	FX rack	knob		fx-rack			
fx2type	global	FX2 Type	FX	FX rack	select		fx-rack			
fx2amt	global	FX2 Amount	FX	FX rack	knob		fx-rack			
fx3type	global	FX3 Type	FX	FX rack	select		fx-rack			
fx3amt	global	FX3 Amount	FX	FX rack	knob		fx-rack			
fx4type	global	FX4 Type	FX	FX rack	select		fx-rack			
fx4amt	global	FX4 Amount	FX	FX rack	knob		fx-rack			
osc1.sAttack	osc1	S.Attack (s)	OSC	Envelope	knob					
osc2.sAttack	osc2	S.Attack (s)	OSC	Envelope	knob					
osc1.sDecay	osc1	S.Decay (s)	OSC	Envelope	knob					
osc2.sDecay	osc2	S.Decay (s)	OSC	Envelope	knob					
osc1.sSustain	osc1	S.Sustain	OSC	Envelope	knob					
osc2.sSustain	osc2	S.Sustain	OSC	Envelope	knob					
osc1.sRelease	osc1	S.Release (s)	OSC	Envelope	knob					
osc2.sRelease	osc2	S.Release (s)	OSC	Envelope	knob					
osc1.shape	osc1	Squareness	OSC	Saw shape	knob		saw-shape			
osc2.shape	osc2	Squareness	OSC	Saw shape	knob		saw-shape			
osc1.toneTilt	osc1	Tone Tilt	OSC	Image & tone	knob		image-tone			
osc2.toneTilt	osc2	Tone Tilt	OSC	Image & tone	knob		image-tone			
osc1.hiTame	osc1	Hi Tame	OSC	Image & tone	knob		image-tone			
osc2.hiTame	osc2	Hi Tame	OSC	Image & tone	knob		image-tone			
osc1.driftMode	osc1	Drift Mode	OSC	Drift	select		drift			
osc2.driftMode	osc2	Drift Mode	OSC	Drift	select		drift			
osc1.keepPhase	osc1	Keep Phase	OSC	Drift	toggle		drift			
osc2.keepPhase	osc2	Keep Phase	OSC	Drift	toggle		drift			
freqGlide	global	Freq Glide (s)	OSC	Drift	knob		drift			
osc1.panMotion	osc1	Pan Motion	OSC	Image & tone	knob		image-tone			
osc2.panMotion	osc2	Pan Motion	OSC	Image & tone	knob		image-tone			
osc1.panMode	osc1	Pan Motion Mode	OSC	Image & tone	select		image-tone			
osc2.panMode	osc2	Pan Motion Mode	OSC	Image & tone	select		image-tone			
osc1.motionCenter	osc1	Centre Pin	OSC	Drift	knob		drift			
osc2.motionCenter	osc2	Centre Pin	OSC	Drift	knob		drift			
osc1.harmReach	osc1	Harmonic Reach	OSC	The swarm	knob		the-swarm			law=4
osc2.harmReach	osc2	Harmonic Reach	OSC	The swarm	knob		the-swarm			law=4
osc1.stretchB	osc1	Stretch B	OSC	The swarm	knob		the-swarm			law=5
osc2.stretchB	osc2	Stretch B	OSC	The swarm	knob		the-swarm			law=5
osc1.spread	osc1	Octave Spread	OSC	The swarm	knob		the-swarm			
osc2.spread	osc2	Octave Spread	OSC	The swarm	knob		the-swarm			
osc1.anchor	osc1	Root Anchor	OSC	The swarm	knob		the-swarm			
osc2.anchor	osc2	Root Anchor	OSC	The swarm	knob		the-swarm			
osc1.pivotMode	osc1	Pivot	OSC	Dynamics	select		dynamics			
osc2.pivotMode	osc2	Pivot	OSC	Dynamics	select		dynamics			
osc1.panLayout	osc1	Pan Image	OSC	Image & tone	select		image-tone			
osc2.panLayout	osc2	Pan Image	OSC	Image & tone	select		image-tone			
osc1.panCurve	osc1	Fan Curve	OSC	Image & tone	knob		image-tone			
osc2.panCurve	osc2	Fan Curve	OSC	Image & tone	knob		image-tone			
osc1.panInvert	osc1	Fan Invert	OSC	Image & tone	toggle		image-tone			
osc2.panInvert	osc2	Fan Invert	OSC	Image & tone	toggle		image-tone			
osc1.superMode	osc1	Super-Width Mode	OSC	Image & tone	select		image-tone			
osc2.superMode	osc2	Super-Width Mode	OSC	Image & tone	select		image-tone			
oversample	global	Oversample 2x	MIX	Output & perception	toggle		output-perception			
polyGlide	global	Poly Glide (dev)	MAIN	Bend	toggle		bend	never		never
glideMode	global	Glide From	MAIN	Bend	select		bend			
osc1.onsetScatter	osc1	Onset Scatter (ms)	OSC	Onset & scatter	knob		onset-scatter		log10	
osc2.onsetScatter	osc2	Onset Scatter (ms)	OSC	Onset & scatter	knob		onset-scatter		log10	
osc1.onsetAlpha	osc1	Timing Correction	OSC	Onset & scatter	knob		onset-scatter			
osc2.onsetAlpha	osc2	Timing Correction	OSC	Onset & scatter	knob		onset-scatter			
osc1.attackScatter	osc1	Attack Scatter	OSC	Onset & scatter	knob		onset-scatter			
osc2.attackScatter	osc2	Attack Scatter	OSC	Onset & scatter	knob		onset-scatter			
osc1.voiceEnv	osc1	Per-Partial Env	OSC	Onset & scatter	toggle		onset-scatter			
osc2.voiceEnv	osc2	Per-Partial Env	OSC	Onset & scatter	toggle		onset-scatter			
osc1.relScatter	osc1	Release Scatter	OSC	Onset & scatter	knob		onset-scatter			
osc2.relScatter	osc2	Release Scatter	OSC	Onset & scatter	knob		onset-scatter			
fx1tone	global	FX1 Tone	FX	FX rack	knob		fx-rack			
fx2tone	global	FX2 Tone	FX	FX rack	knob		fx-rack			
fx3tone	global	FX3 Tone	FX	FX rack	knob		fx-rack			
fx4tone	global	FX4 Tone	FX	FX rack	knob		fx-rack			
inertiaCurve	global	Inertia Curve (dev)	OSC	The coupling	knob		the-coupling	never		never
masterVol	global	Master Volume	MIX	Mix	knob		mix			
gSemi	global	Pitch	MIX	Mix	knob		mix			
gFine	global	Fine	MIX	Mix	knob		mix			
gOct	global	Master Octave	MIX	(ungrouped)	knob		ungrouped			
osc1.oscMute	osc1	Mute	MIX	(ungrouped)	select		ungrouped			
osc2.oscMute	osc2	Mute	MIX	(ungrouped)	select		ungrouped			
osc1.oscSolo	osc1	Solo	MIX	(ungrouped)	select		ungrouped			
osc2.oscSolo	osc2	Solo	MIX	(ungrouped)	select		ungrouped			
bendLaw	global	Bend Law	MAIN	Bend	select		bend			
bendTime	global	Bend Time	MAIN	Bend	knob	ms	bend	bendLaw=1	log10	bendLaw=1
bendRate	global	Bend Rate	MAIN	Bend	knob	st/s	bend	bendLaw=2	log10	bendLaw=2
bendTau	global	Bend Lag	MAIN	Bend	knob	ms	bend	bendLaw=3	log10	bendLaw=3
bendSpringF	global	Spring	MAIN	Bend	knob	Hz	bend	bendLaw=4	log10	bendLaw=4
bendDamp	global	Damping	MAIN	Bend	knob		bend	bendLaw=4		bendLaw=4
bendDistOver	global	Distance Curve	MAIN	Bend	knob		bend	bendLaw=4		bendLaw=4
bendReturn	global	Return x	MAIN	Bend	knob		bend	bendLaw=1|2|3|4		bendLaw=1|2|3|4
bendQuant	global	Bend Quantise	MAIN	Bend	select		bend			
bendHyst	global	Quantise Hyst	MAIN	Bend	knob	c	bend	bendQuant=1|2|3|4		bendQuant=1|2|3|4
scaleRoot	global	Root	MAIN	Scale	select		scale	bendQuant=2|3;noteQuant=2		bendQuant=2|3;noteQuant=2
scaleDeg0	global	1 (root)	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg1	global	b2	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg2	global	2	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg3	global	b3	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg4	global	3	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg5	global	4	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg6	global	b5	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg7	global	5	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg8	global	b6	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg9	global	6	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg10	global	b7	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
scaleDeg11	global	7	MAIN	Scale	toggle		scale	bendQuant=2|3|4;noteQuant=2		bendQuant=2|3|4;noteQuant=2
osc1.sawBase	osc1	Saw Base	OSC	Saw shape	knob		saw-shape			
osc1.sawProfile	osc1	Roundness Shape	OSC	Saw shape	knob		saw-shape			
osc1.round	osc1	Roundness	OSC	Saw shape	knob		saw-shape			
osc1.roundHi	osc1	Round x Pitch	OSC	Saw shape	knob		saw-shape			
osc2.sawBase	osc2	Saw Base	OSC	Saw shape	knob		saw-shape			
osc2.sawProfile	osc2	Roundness Shape	OSC	Saw shape	knob		saw-shape			
osc2.round	osc2	Roundness	OSC	Saw shape	knob		saw-shape			
osc2.roundHi	osc2	Round x Pitch	OSC	Saw shape	knob		saw-shape			
fx1mix	global	FX1 Mix	FX	FX rack	knob		fx-rack			
fx2mix	global	FX2 Mix	FX	FX rack	knob		fx-rack			
fx3mix	global	FX3 Mix	FX	FX rack	knob		fx-rack			
fx4mix	global	FX4 Mix	FX	FX rack	knob		fx-rack			
noteLawLink	global	Note Law	MAIN	Bend	select		bend			
noteLaw	global	Note Travel	MAIN	Bend	select		bend	noteLawLink=0		noteLawLink=0
noteTime	global	Note Time	MAIN	Bend	knob	ms	bend	noteLawLink=0,noteLaw=1	log10	noteLawLink=0,noteLaw=1
noteRate	global	Note Rate	MAIN	Bend	knob	st/s	bend	noteLawLink=0,noteLaw=2	log10	noteLawLink=0,noteLaw=2
noteSpringF	global	Note Spring	MAIN	Bend	knob	Hz	bend	noteLawLink=0,noteLaw=4	log10	noteLawLink=0,noteLaw=4
noteDamp	global	Note Damping	MAIN	Bend	knob		bend	noteLawLink=0,noteLaw=4		noteLawLink=0,noteLaw=4
noteDistOver	global	Note Distance Curve	MAIN	Bend	knob		bend	noteLawLink=0,noteLaw=4		noteLawLink=0,noteLaw=4
noteQuant	global	Note Quantise	MAIN	Bend	select		bend	noteLawLink=0		noteLawLink=0
noteHyst	global	Note Quant Hyst	MAIN	Bend	knob	c	bend	noteLawLink=0,noteQuant=1|2		noteLawLink=0,noteQuant=1|2
bendQTimeMode	global	Step Timing	MAIN	Bend	select		bend	bendQuant=1|2|3|4		bendQuant=1|2|3|4
bendQTimeHz	global	Step Rate	MAIN	Bend	knob	Hz	bend	bendQTimeMode=1	log10	bendQTimeMode=1
bendQTimeSync	global	Step Grid	MAIN	Bend	knob	/beat	bend	bendQTimeMode=2		bendQTimeMode=2
bendMpeLaw	global	MPE Bend	MAIN	Bend	select		bend			
morphOn	global	Morph	MORPH	Morph engine	toggle		morph			
morphMode	global	Morph Mode	MORPH	Morph engine	select		morph	morphOn=1		morphOn=1
morphTemp	global	Temperature	MORPH	Morph engine	knob		morph	morphOn=1	log10	morphOn=1
morphCoup	global	Coupling	MORPH	Morph engine	knob		morph	morphOn=1		morphOn=1
morphSeed	global	Morph Seed	MORPH	Morph engine	knob		morph	morphOn=1		morphOn=1
morphGlide	global	Flip Glide	MORPH	Morph engine	knob	s	morph	morphOn=1,morphMode=0	log10	morphOn=1,morphMode=0
morphX	global	Morph X	MORPH	Morph engine	knob		morph	morphOn=1		morphOn=1
morphY	global	Morph Y	MORPH	Morph engine	knob		morph	morphOn=1		morphOn=1
morphArm	global	Edit Corner	MORPH	Morph engine	select		morph	never		never
